iter	Passed	Remaining
0	3	3379
1	6	3230
2	9	3111
3	12	3054
4	15	3095
5	19	3222
6	23	3273
7	27	3349
8	31	3517
9	34	3448
10	38	3470
11	41	3404
12	44	3346
13	47	3312
14	49	3265
15	51	3196
16	54	3166
17	57	3136
18	60	3113
19	63	3088
20	65	3047
21	68	3027
22	70	3014
23	73	2998
24	76	2983
25	78	2954
26	80	2916
27	83	2891
28	86	2901
29	89	2892
30	92	2884
31	94	2853
32	97	2845
33	99	2838
34	101	2805
35	104	2798
36	107	2796
37	110	2790
38	113	2787
39	115	2779
40	118	2774
41	121	2769
42	124	2767
43	127	2761
44	129	2756
45	132	2752
46	134	2731
47	137	2727
48	140	2723
49	142	2710
50	145	2705
51	148	2701
52	150	2696
53	153	2692
54	156	2688
55	159	2684
56	162	2680
57	164	2675
58	167	2671
59	170	2667
60	173	2663
61	175	2660
62	178	2655
63	181	2652
64	184	2648
65	187	2650
66	190	2654
67	193	2655
68	196	2652
69	199	2649
70	202	2649
71	205	2651
72	209	2655
73	212	2657
74	216	2668
75	219	2667
76	221	2658
77	224	2656
78	227	2652
79	230	2648
80	233	2644
81	235	2640
82	238	2632
83	241	2631
84	244	2628
85	246	2624
86	248	2610
87	251	2607
88	254	2604
89	257	2601
90	259	2588
91	261	2585
92	264	2581
93	267	2574
94	269	2570
95	272	2567
96	275	2563
97	278	2560
98	280	2556
99	283	2554
100	285	2544
101	287	2531
102	290	2528
103	293	2525
104	294	2513
105	297	2510
106	300	2506
107	303	2504
108	305	2500
109	308	2497
110	311	2494
111	314	2491
112	316	2480
113	318	2478
114	321	2477
115	324	2474
116	327	2471
117	330	2469
118	333	2466
119	335	2463
120	338	2460
121	341	2454
122	343	2451
123	346	2448
124	348	2440
125	351	2438
126	354	2435
127	357	2432
128	359	2429
129	362	2426
130	365	2424
131	368	2421
132	370	2417
133	373	2415
134	376	2414
135	380	2415
136	383	2413
137	385	2408
138	388	2405
139	391	2405
140	394	2402
141	397	2400
142	400	2401
143	404	2403
144	408	2408
145	411	2407
146	413	2401
147	416	2398
148	438	2503
149	444	2518
150	447	2516
151	450	2513
152	453	2509
153	456	2505
154	458	2501
155	461	2498
156	464	2494
157	467	2492
158	470	2488
159	472	2478
160	474	2474
161	477	2471
162	480	2467
163	482	2457
164	484	2453
165	487	2450
166	490	2446
167	493	2442
168	496	2439
169	498	2435
170	501	2432
171	503	2424
172	506	2421
173	509	2417
174	511	2413
175	514	2409
176	516	2401
177	519	2398
178	522	2394
179	525	2392
180	528	2389
181	530	2386
182	533	2383
183	536	2379
184	539	2376
185	542	2372
186	545	2369
187	547	2366
188	550	2362
189	553	2359
190	556	2355
191	558	2351
192	561	2348
193	564	2345
194	567	2341
195	570	2340
196	573	2339
197	576	2335
198	579	2333
199	582	2329
200	584	2324
201	587	2321
202	590	2319
203	594	2318
204	597	2317
205	601	2317
206	604	2314
207	606	2310
208	609	2307
209	612	2304
210	615	2302
211	618	2299
212	621	2296
213	624	2293
214	627	2290
215	630	2287
216	632	2283
217	635	2280
218	638	2276
219	641	2273
220	644	2270
221	646	2266
222	648	2260
223	651	2256
224	654	2253
225	657	2250
226	659	2247
227	662	2243
228	665	2240
229	668	2237
230	671	2234
231	674	2231
232	676	2228
233	679	2224
234	682	2221
235	685	2218
236	688	2215
237	690	2211
238	693	2208
239	696	2204
240	698	2201
241	701	2198
242	704	2194
243	707	2191
244	710	2188
245	712	2184
246	715	2180
247	717	2176
248	720	2173
249	723	2170
250	726	2166
251	728	2163
252	731	2160
253	734	2157
254	737	2153
255	739	2150
256	742	2147
257	745	2144
258	748	2141
259	751	2138
260	754	2135
261	756	2131
262	759	2128
263	762	2127
264	765	2124
265	768	2121
266	771	2118
267	775	2117
268	778	2115
269	782	2114
270	784	2111
271	787	2108
272	790	2105
273	792	2100
274	795	2097
275	798	2094
276	801	2091
277	803	2087
278	806	2084
279	809	2081
280	812	2077
281	814	2074
282	817	2070
283	819	2067
284	822	2064
285	825	2061
286	828	2057
287	830	2053
288	833	2050
289	836	2047
290	838	2043
291	841	2040
292	844	2037
293	846	2033
294	849	2030
295	852	2027
296	855	2024
297	858	2021
298	860	2018
299	863	2015
300	866	2011
301	869	2008
302	871	2005
303	873	1999
304	875	1994
305	878	1991
306	880	1988
307	883	1985
308	886	1982
309	889	1979
310	892	1976
311	895	1973
312	897	1970
313	900	1967
314	903	1964
315	906	1961
316	909	1959
317	912	1956
318	914	1953
319	916	1948
320	919	1945
321	922	1942
322	925	1939
323	927	1936
324	930	1932
325	933	1930
326	936	1926
327	939	1923
328	941	1921
329	944	1917
330	947	1914
331	950	1911
332	952	1908
333	956	1907
334	959	1904
335	962	1902
336	965	1899
337	968	1896
338	973	1897
339	977	1898
340	980	1895
341	983	1892
342	986	1889
343	989	1886
344	992	1883
345	995	1880
346	997	1877
347	999	1873
348	1002	1870
349	1005	1867
350	1007	1863
351	1010	1860
352	1012	1855
353	1015	1853
354	1018	1849
355	1020	1846
356	1023	1843
357	1026	1841
358	1029	1838
359	1032	1835
360	1035	1832
361	1037	1828
362	1040	1825
363	1043	1822
364	1046	1819
365	1048	1816
366	1051	1813
367	1054	1810
368	1057	1807
369	1059	1804
370	1062	1801
371	1065	1798
372	1068	1795
373	1069	1790
374	1072	1787
375	1075	1784
376	1077	1780
377	1080	1777
378	1082	1774
379	1085	1770
380	1088	1768
381	1091	1766
382	1095	1764
383	1098	1762
384	1101	1759
385	1104	1756
386	1107	1753
387	1109	1750
388	1112	1747
389	1115	1744
